BTCUSDT,0.10,0.001
ETHUSDT,0.01,0.001
BCHUSDT,0.01,0.001
XRPUSDT,0.0001,0.1
LTCUSDT,0.01,0.001
TRXUSDT,0.00001,1
ETCUSDT,0.001,0.01
LINKUSDT,0.001,0.01
XLMUSDT,0.00001,1
ADAUSDT,0.00010,1
XMRUSDT,0.01,0.001
DASHUSDT,0.01,0.001
ZECUSDT,0.01,0.001
XTZUSDT,0.001,0.1
BNBUSDT,0.010,0.01
ATOMUSDT,0.001,0.01
ONTUSDT,0.0001,0.1
IOTAUSDT,0.0001,0.1
BATUSDT,0.0001,0.1
VETUSDT,0.000001,1
NEOUSDT,0.001,0.01
QTUMUSDT,0.001,0.1
IOSTUSDT,0.000001,1
THETAUSDT,0.0001,0.1
ALGOUSDT,0.0001,0.1
ZILUSDT,0.00001,1
KNCUSDT,0.00010,1
ZRXUSDT,0.0001,0.1
COMPUSDT,0.01,0.001
OMGUSDT,0.0001,0.1
DOGEUSDT,0.000010,1
SXPUSDT,0.0001,0.1
KAVAUSDT,0.0001,0.1
BANDUSDT,0.0001,0.1
RLCUSDT,0.0001,0.1
WAVESUSDT,0.0001,0.1
MKRUSDT,0.10,0.001
SNXUSDT,0.001,0.1
DOTUSDT,0.001,0.1
DEFIUSDT,0.1,0.001
YFIUSDT,1,0.001
BALUSDT,0.001,0.1
CRVUSDT,0.001,0.1
TRBUSDT,0.001,0.1
RUNEUSDT,0.0010,1
SUSHIUSDT,0.0001,1
EGLDUSDT,0.001,0.1
SOLUSDT,0.0100,0.01
ICXUSDT,0.0001,1
STORJUSDT,0.0001,1
BLZUSDT,0.00001,1
UNIUSDT,0.0010,1
AVAXUSDT,0.0010,1
FTMUSDT,0.000100,1
ENJUSDT,0.00001,1
FLMUSDT,0.0001,1
RENUSDT,0.00001,1
KSMUSDT,0.001,0.1
NEARUSDT,0.0010,1
AAVEUSDT,0.010,0.1
FILUSDT,0.001,0.1
RSRUSDT,0.000001,1
LRCUSDT,0.00001,1
OCEANUSDT,0.00010,1
BELUSDT,0.00010,1
AXSUSDT,0.00100,1
ALPHAUSDT,0.00001,1
ZENUSDT,0.001,0.1
SKLUSDT,0.00001,1
GRTUSDT,0.00001,1
1INCHUSDT,0.0001,1
CHZUSDT,0.00001,1
SANDUSDT,0.00001,1
ANKRUSDT,0.000010,1
LITUSDT,0.001,0.1
UNFIUSDT,0.001,0.1
REEFUSDT,0.000001,1
RVNUSDT,0.00001,1
SFPUSDT,0.0001,1
XEMUSDT,0.0001,1
BTCSTUSDT,0.001,0.1
COTIUSDT,0.00001,1
CHRUSDT,0.0001,1
MANAUSDT,0.0001,1
ALICEUSDT,0.001,0.1
HBARUSDT,0.00001,1
ONEUSDT,0.00001,1
LINAUSDT,0.000001,0.1
STMXUSDT,0.00001,1
DENTUSDT,0.000001,1
CELRUSDT,0.00001,1
HOTUSDT,0.000001,1
MTLUSDT,0.0001,1
OGNUSDT,0.0001,1
NKNUSDT,0.00001,1
SCUSDT,0.000001,1
DGBUSDT,0.00001,1
1000SHIBUSDT,0.000001,1
BAKEUSDT,0.0001,1
GTCUSDT,0.001,0.1
BTCDOMUSDT,0.1,0.001
IOTXUSDT,0.00001,1
RAYUSDT,0.001,0.1
C98USDT,0.0001,1
MASKUSDT,0.0001,1
ATAUSDT,0.0001,1
DYDXUSDT,0.001,0.1
1000XECUSDT,0.00001,1
